"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Fabrication de gaz industriels (NAF rév. 2, niveau classe, poste 20.11)";"Codes"
"idBank";"010537426";""
"Période";"";""
"2021-01";"99.46";"A"
"2020-12";"99.56";"A"
"2020-11";"100.16";"A"
"2020-10";"98.62";"A"
"2020-09";"95.91";"A"
"2020-08";"87.12";"A"
"2020-07";"89.09";"A"
"2020-06";"87.08";"A"
"2020-05";"84.15";"A"
"2020-04";"74.68";"A"
"2020-03";"93.48";"A"
"2020-02";"106.05";"A"
"2020-01";"102.44";"A"
"2019-12";"97.65";"A"
"2019-11";"99.02";"A"
"2019-10";"101.96";"A"
"2019-09";"104.47";"A"
"2019-08";"104.43";"A"
"2019-07";"106.32";"A"
"2019-06";"106.1";"A"
"2019-05";"105.34";"A"
"2019-04";"112.08";"A"
"2019-03";"105.85";"A"
"2019-02";"97.25";"A"
"2019-01";"105.82";"A"
"2018-12";"104.88";"A"
"2018-11";"104.75";"A"
"2018-10";"97.55";"A"
"2018-09";"103.78";"A"
"2018-08";"103.77";"A"
"2018-07";"104.52";"A"
"2018-06";"102.78";"A"
"2018-05";"101.16";"A"
"2018-04";"100.65";"A"
"2018-03";"104.05";"A"
"2018-02";"104.13";"A"
"2018-01";"104.13";"A"
"2017-12";"108.55";"A"
"2017-11";"108.43";"A"
"2017-10";"107.4";"A"
"2017-09";"106.94";"A"
"2017-08";"106.86";"A"
"2017-07";"108.61";"A"
"2017-06";"110.34";"A"
"2017-05";"113.67";"A"
"2017-04";"102.81";"A"
"2017-03";"101.21";"A"
"2017-02";"103.69";"A"
"2017-01";"104.91";"A"
"2016-12";"103.15";"A"
"2016-11";"104.94";"A"
"2016-10";"103.72";"A"
"2016-09";"101.4";"A"
"2016-08";"101.51";"A"
"2016-07";"95.25";"A"
"2016-06";"95.44";"A"
"2016-05";"96.4";"A"
"2016-04";"97.86";"A"
"2016-03";"96.19";"A"
"2016-02";"102.79";"A"
"2016-01";"102.3";"A"
"2015-12";"101.05";"A"
"2015-11";"100.1";"A"
"2015-10";"99.51";"A"
"2015-09";"98.51";"A"
"2015-08";"99.52";"A"
"2015-07";"100.88";"A"
"2015-06";"106.34";"A"
"2015-05";"98.36";"A"
"2015-04";"100.51";"A"
"2015-03";"92.09";"A"
"2015-02";"99.58";"A"
"2015-01";"103.55";"A"
"2014-12";"106.37";"A"
"2014-11";"104.05";"A"
"2014-10";"106.15";"A"
"2014-09";"110.86";"A"
"2014-08";"116.34";"A"
"2014-07";"110.92";"A"
"2014-06";"106.91";"A"
"2014-05";"111.35";"A"
"2014-04";"105.32";"A"
"2014-03";"107.0";"A"
"2014-02";"101.82";"A"
"2014-01";"103.14";"A"
"2013-12";"101.92";"A"
"2013-11";"101.91";"A"
"2013-10";"100.94";"A"
"2013-09";"98.17";"A"
"2013-08";"99.68";"A"
"2013-07";"101.04";"A"
"2013-06";"102.77";"A"
"2013-05";"100.48";"A"
"2013-04";"100.81";"A"
"2013-03";"103.6";"A"
"2013-02";"100.8";"A"
